117|1101050007|Sanggiran|1101050|1|1|9
118|1101050008|Amabaan|1101050|1|1|9
119|1101050009|Miteum|1101050|1|1|9
120|1101050010|Malasin|1101050|1|1|9
121|1101050011|Lamamek|1101050|1|1|9
122|1101050012|Sigulai|1101050|1|1|9
123|1101050013|Sembilan|1101050|1|1|9
124|1101050014|Layabaung|1101050|1|1|9
125|1101050015|Lhok Makmur|1101050|1|1|9
126|1101050016|Ujung Harapan|1101050|1|1|9
127|1101050017|Lhok Bikhao|1101050|1|1|9
128|1101050018|Babul Makmur|1101050|1|1|9
129|1101050019|Batu Ragi|1101050|1|1|9
130|1101050020|Sinar Bahagia|1101050|1|1|9
131|1101051001|Lafakha|1101051|1|1|10
132|1101051002|Lhok Dalam|1101051|1|1|10
133|1101051003|Lubuk Baik|1101051|1|1|10
134|1101051004|Langi|1101051|1|1|10
135|1101051005|Serafon|1101051|1|1|10
136|1101051006|Lhok Pauh|1101051|1|1|10
137|1101051007|Lamerem|1101051|1|1|10
138|1101051008|Lewak|1101051|1|1|10
139|1102010003|Pulau Baguk|1102010|1|2|11
140|1102010004|Pulau Balai|1102010|1|2|11
141|1102010005|Teluk Nibung|1102010|1|2|11
142|1102011001|Asantola|1102011|1|2|12
143|1102011002|Ujung Sialit|1102011|1|2|12
144|1102011003|Haloban|1102011|1|2|12
145|1102011004|Suka Makmur|1102011|1|2|12
146|1102020003|Pulo Sarok|1102020|1|2|13
147|1102020004|Pasar Singkil|1102020|1|2|13
148|1102020005|Ujung|1102020|1|2|13
149|1102020006|Kota Simboling|1102020|1|2|13
150|1102020007|Kilangan|1102020|1|2|13
151|1102020009|Teluk Ambun|1102020|1|2|13
152|1102020010|Rantau Gedang|1102020|1|2|13
153|1102020011|Teluk Rumbia|1102020|1|2|13
154|1102020012|Takal Pasir|1102020|1|2|13
155|1102020013|Selok Aceh|1102020|1|2|13
156|1102020014|Pea Bumbung|1102020|1|2|13
157|1102020015|Pemuka|1102020|1|2|13
158|1102020019|Suka Damai|1102020|1|2|13
159|1102020020|Ujung Bawang|1102020|1|2|13
160|1102020021|Siti Ambia|1102020|1|2|13
161|1102020022|Suka Makmur|1102020|1|2|13
162|1102021001|Gosong Telaga Utara|1102021|1|2|14
163|1102021002|Gosong Telaga Selatan|1102021|1|2|14
164|1102021003|Gosong Telaga Timur|1102021|1|2|14
165|1102021004|Telaga Bakti|1102021|1|2|14
166|1102021005|Kampung Baru|1102021|1|2|14
167|1102021006|Ketapang Indah|1102021|1|2|14
168|1102021007|Gosong Telaga Barat|1102021|1|2|14
169|1102022001|Kayu Menang|1102022|1|2|15
170|1102022002|Kuala Baru Sungai|1102022|1|2|15
171|1102022003|Kuala Baru Laut|1102022|1|2|15
172|1102022004|Suka Jaya|1102022|1|2|15
173|1102030017|Pangi|1102030|1|2|16
174|1102030026|Tugan|1102030|1|2|16
175|1102030027|Cibubukan|1102030|1|2|16
176|1102030028|Kain Golong|1102030|1|2|16
